;作者id;总评分;外观评分;内饰评分;配置评分;空间评分;舒适性评分;操控评分;动力评分
0;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
1;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
2;艳子琐事;4.07;4;4;4;4;4;4;0
3;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
4;Terry8620;4;4.5;3;4;4;3.5;4.5;0
5;亨利Sun;4.5;5;4;5;4.5;3;5;0
6;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
7;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
8;成熟咖啡Qu;4;4;4;4;4;4;4;0
9;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
10;极速埃弗里4;4.86;5;5;5;5;4;5;0
11;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
12;不灬落;4.21;2;4.5;4;5;4;5;0
13;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
14;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
15;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
16;艳子琐事;4.07;4;4;4;4;4;4;0
17;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
18;Terry8620;4;4.5;3;4;4;3.5;4.5;0
19;亨利Sun;4.5;5;4;5;4.5;3;5;0
20;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
21;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
22;成熟咖啡Qu;4;4;4;4;4;4;4;0
23;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
24;极速埃弗里4;4.86;5;5;5;5;4;5;0
25;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
26;不灬落;4.21;2;4.5;4;5;4;5;0
27;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
28;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
29;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
30;艳子琐事;4.07;4;4;4;4;4;4;0
31;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
32;Terry8620;4;4.5;3;4;4;3.5;4.5;0
33;亨利Sun;4.5;5;4;5;4.5;3;5;0
34;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
35;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
36;成熟咖啡Qu;4;4;4;4;4;4;4;0
37;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
38;极速埃弗里4;4.86;5;5;5;5;4;5;0
39;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
40;不灬落;4.21;2;4.5;4;5;4;5;0
41;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
42;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
43;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
44;艳子琐事;4.07;4;4;4;4;4;4;0
45;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
46;Terry8620;4;4.5;3;4;4;3.5;4.5;0
47;亨利Sun;4.5;5;4;5;4.5;3;5;0
48;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
49;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
50;成熟咖啡Qu;4;4;4;4;4;4;4;0
51;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
52;极速埃弗里4;4.86;5;5;5;5;4;5;0
53;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
54;不灬落;4.21;2;4.5;4;5;4;5;0
55;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
56;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
57;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
58;艳子琐事;4.07;4;4;4;4;4;4;0
59;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
60;Terry8620;4;4.5;3;4;4;3.5;4.5;0
61;亨利Sun;4.5;5;4;5;4.5;3;5;0
62;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
63;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
64;成熟咖啡Qu;4;4;4;4;4;4;4;0
65;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
66;极速埃弗里4;4.86;5;5;5;5;4;5;0
67;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
68;不灬落;4.21;2;4.5;4;5;4;5;0
69;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
70;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
71;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
72;艳子琐事;4.07;4;4;4;4;4;4;0
73;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
74;Terry8620;4;4.5;3;4;4;3.5;4.5;0
75;亨利Sun;4.5;5;4;5;4.5;3;5;0
76;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
77;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
78;成熟咖啡Qu;4;4;4;4;4;4;4;0
79;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
80;极速埃弗里4;4.86;5;5;5;5;4;5;0
81;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
82;不灬落;4.21;2;4.5;4;5;4;5;0
83;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
84;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
85;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
86;艳子琐事;4.07;4;4;4;4;4;4;0
87;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
88;Terry8620;4;4.5;3;4;4;3.5;4.5;0
89;亨利Sun;4.5;5;4;5;4.5;3;5;0
90;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
91;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
92;成熟咖啡Qu;4;4;4;4;4;4;4;0
93;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
94;极速埃弗里4;4.86;5;5;5;5;4;5;0
95;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
96;不灬落;4.21;2;4.5;4;5;4;5;0
97;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
98;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
99;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
100;艳子琐事;4.07;4;4;4;4;4;4;0
101;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
102;Terry8620;4;4.5;3;4;4;3.5;4.5;0
103;亨利Sun;4.5;5;4;5;4.5;3;5;0
104;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
105;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
106;成熟咖啡Qu;4;4;4;4;4;4;4;0
107;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
108;极速埃弗里4;4.86;5;5;5;5;4;5;0
109;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
110;不灬落;4.21;2;4.5;4;5;4;5;0
111;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
112;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
113;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
114;艳子琐事;4.07;4;4;4;4;4;4;0
115;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
116;Terry8620;4;4.5;3;4;4;3.5;4.5;0
117;亨利Sun;4.5;5;4;5;4.5;3;5;0
118;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
119;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
120;成熟咖啡Qu;4;4;4;4;4;4;4;0
121;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
122;极速埃弗里4;4.86;5;5;5;5;4;5;0
123;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
124;不灬落;4.21;2;4.5;4;5;4;5;0
125;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
126;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
127;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
128;艳子琐事;4.07;4;4;4;4;4;4;0
129;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
130;Terry8620;4;4.5;3;4;4;3.5;4.5;0
131;亨利Sun;4.5;5;4;5;4.5;3;5;0
132;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
133;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
134;成熟咖啡Qu;4;4;4;4;4;4;4;0
135;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
136;极速埃弗里4;4.86;5;5;5;5;4;5;0
137;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
138;不灬落;4.21;2;4.5;4;5;4;5;0
139;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
